"ausfall";"betrag";"zins";"bonitaet";"alter";"wohnen";"arbeit";"einkommen"
"nein";6000;7,9;"A";29;"Miete";2;54
"nein";10000;12,69;"B";26;"Miete";18;88
"nein";16000;6,03;"A";34;"Miete";27;130
"nein";7100;8,9;"A";34;"Grundschuld";0;120
"nein";35000;8,9;"A";26;"Grundschuld";8;128
"nein";10000;7,51;"A";24;"Miete";5;100
"nein";4800;11,71;"B";29;"Grundschuld";11;130,9
"nein";3000;7,9;"A";29;"Eigentum";3;16
"nein";24000;9,91;"B";27;"Eigentum";3;48
"nein";3000;10,65;"B";24;"Grundschuld";31;60
"nein";6500;13,49;"C";25;"Miete";2;42
"nein";12000;11,71;"B";30;"Miete";13;42,6
"nein";12725;12,42;"B";26;"Grundschuld";3;46,8
"nein";21000;8,9;"A";23;"Grundschuld";5;86
"nein";6000;15,96;"C";22;"Miete";0;21,3
"nein";2400;10,65;"B";27;"Miete";6;38,4
"nein";6000;7,9;"A";26;"Grundschuld";4;76,48608
"ja";4500;12,42;"B";23;"Miete";21;62
"nein";12000;9,91;"B";27;"Grundschuld";8;70
"ja";18000;12,69;"B";27;"Grundschuld";3;85
"nein";6300;10,65;"B";31;"Miete";5;83
"nein";5600;11,71;"B";23;"Grundschuld";6;45
"nein";8000;16,29;"D";22;"Miete";1;120
"nein";9600;14,27;"C";28;"Miete";1;25
"nein";28000;8,9;"A";31;"Grundschuld";6;120
"nein";7000;6,03;"A";21;"Grundschuld";4;41
"nein";29000;12,69;"B";27;"Miete";3;81,3
"nein";8400;9,91;"B";27;"Miete";7;37
"nein";10000;8,9;"A";30;"Miete";5;36,996
"nein";12600;10,65;"B";22;"Miete";9;74
"nein";31400;14,27;"C";36;"Grundschuld";14;250
"nein";8000;7,9;"A";34;"Miete";0;34
"nein";12000;6,03;"A";33;"Miete";0;90
"nein";7250;10,65;"B";25;"Miete";1;62,467
"ja";8500;12,42;"B";33;"Grundschuld";3;62,4
"nein";5000;8,9;"A";25;"Miete";0;28,8
"nein";7200;11,71;"B";25;"Grundschuld";7;58
"nein";12000;7,51;"A";41;"Grundschuld";18;82
"nein";2200;12,42;"B";21;"Grundschuld";17;65
"nein";4200;14,27;"C";30;"Miete";2;36
"nein";4000;13,49;"C";31;"Miete";4;75
"nein";10000;7,51;"A";24;"Miete";1;50
"nein";9600;7,9;"A";22;"Miete";4;60
"nein";18825;7,9;"A";34;"Miete";5;42
"nein";5500;7,9;"A";23;"Miete";1;25,2
"nein";9000;6,03;"A";25;"Grundschuld";8;77
"nein";1000;7,51;"A";24;"Miete";0;30
"ja";2400;17,58;"D";25;"Grundschuld";23;31,2
"nein";3500;12,69;"B";23;"Miete";15;47,496
"nein";7000;8,9;"A";22;"Miete";0;30
"nein";3600;7,9;"A";28;"Miete";0;14,4
"ja";5500;11,71;"B";25;"Miete";1;18
"nein";2700;14,27;"C";32;"Grundschuld";5;88,5
"nein";5600;12,42;"B";29;"Grundschuld";1;60
"nein";8600;19,42;"E";22;"Grundschuld";18;59,774
"nein";7000;7,49;"A";27;"Grundschuld";0;120
"nein";8000;7,51;"A";28;"Miete";2;52,5
"nein";2800;9,91;"B";25;"Eigentum";22;95,004
"ja";18000;10,65;"B";23;"Miete";3;82,5
"nein";5000;7,51;"A";34;"Miete";1;39,996
"nein";6600;7,51;"A";26;"Grundschuld";24;95
"nein";2400;9,91;"B";21;"Eigentum";0;19,2
"ja";7000;14,27;"C";24;"Miete";3;33,198
"nein";12500;6,03;"A";22;"Grundschuld";5;65,004
"nein";2400;8,9;"A";34;"Grundschuld";3;38,76912
"nein";18000;7,9;"A";23;"Grundschuld";5;89,2044
"nein";12000;16,29;"D";26;"Grundschuld";11;300
"nein";3000;14,65;"C";30;"Miete";2;125
"nein";1000;14,27;"C";26;"Grundschuld";5;82
"nein";4000;16,29;"D";44;"Eigentum";5;36
"nein";3625;7,9;"A";27;"Miete";2;54
"nein";3600;11,71;"B";24;"Miete";3;20
"nein";10000;19,03;"E";37;"Miete";0;26,4
"nein";5000;6,03;"A";22;"Grundschuld";0;48
"nein";1000;6,62;"A";25;"Eigentum";36;38,4
"nein";2500;14,27;"C";21;"Eigentum";0;40
"nein";5000;7,9;"A";24;"Miete";5;26,4
"nein";10000;12,42;"B";31;"Miete";2;55
"nein";15000;15,27;"C";25;"Miete";6;185
"nein";6000;7,51;"A";33;"Grundschuld";6;75
"ja";9000;14,65;"C";33;"Miete";0;115
"ja";15000;12,69;"B";53;"Miete";4;150
"nein";3000;6,03;"A";22;"Grundschuld";19;42
"nein";4000;6,62;"A";26;"Grundschuld";5;97
"ja";2000;11,71;"B";26;"Miete";2;30
"nein";3600;7,9;"A";23;"Miete";4;60
"nein";13600;6,03;"A";23;"Miete";5;85
"ja";3000;7,9;"A";28;"Grundschuld";11;87
"nein";8250;7,51;"A";38;"Grundschuld";3;43
"nein";5500;13,49;"C";27;"Grundschuld";1;70
"nein";20000;9,91;"B";22;"Miete";2;54
"nein";5000;12,69;"B";31;"Grundschuld";5;100
"nein";16000;13,49;"C";23;"Grundschuld";34;122
"nein";3600;11,71;"B";33;"Eigentum";2;20,988
"nein";12000;7,9;"A";25;"Miete";9;60
"nein";6400;9,91;"B";25;"Miete";0;50
"nein";8000;9,91;"B";21;"Eigentum";8;35
"nein";1000;11,71;"B";30;"Miete";1;100
"nein";10000;6,03;"A";41;"Miete";5;36
"ja";3100;7,51;"A";29;"Grundschuld";5;32
"nein";1500;12,42;"B";24;"Grundschuld";9;60
"nein";3400;13,49;"C";34;"Miete";0;44
"nein";7000;7,51;"A";21;"Miete";2;45
"nein";2500;11,71;"B";23;"Grundschuld";17;48
"nein";10000;6,62;"A";26;"Miete";17;57,6
"nein";4000;11,71;"B";22;"Miete";3;77,25
"nein";8000;6,03;"A";29;"Grundschuld";15;64,32
"nein";18400;9,91;"B";33;"Miete";3;62,5
"nein";17000;7,51;"A";23;"Grundschuld";14;87
"nein";20000;10,65;"B";34;"Grundschuld";5;130
"nein";1200;8,9;"A";37;"Miete";27;85
"nein";4950;8,9;"A";22;"Miete";3;15
"nein";3000;11,71;"B";27;"Miete";9;60
"ja";5000;18,25;"D";22;"Miete";3;36
"nein";30000;16,29;"D";31;"Miete";2;140
"nein";2000;11,71;"B";24;"Eigentum";10;34,5
"nein";6000;6,03;"A";29;"Grundschuld";18;90
"nein";4500;7,9;"A";31;"Grundschuld";11;70
"nein";15000;6,03;"A";32;"Miete";2;86,4
"nein";5000;6,03;"A";32;"Grundschuld";5;66,1
"nein";2400;13,49;"C";29;"Miete";3;90,05
"nein";12000;6,62;"A";33;"Grundschuld";13;56
"nein";34000;9,91;"B";28;"Grundschuld";4;160
"nein";3800;8,9;"A";33;"Grundschuld";8;54
"nein";8000;6,62;"A";25;"Grundschuld";6;33
"nein";6000;8,9;"A";44;"Grundschuld";6;75
"ja";6000;10,65;"B";23;"Grundschuld";6;59
"nein";8875;6,62;"A";24;"Miete";4;26,4
"nein";3500;7,9;"A";21;"Miete";5;30
"nein";7000;6,62;"A";26;"Grundschuld";1;149,4
"nein";4200;7,51;"A";32;"Miete";10;52
"nein";3000;12,69;"B";29;"Miete";5;42
"nein";5875;6,03;"A";24;"Grundschuld";19;62
"nein";17000;7,51;"A";24;"Grundschuld";2;70
"ja";2000;12,69;"B";24;"Miete";1;48
"ja";18000;11,71;"B";43;"Miete";0;42,48
"nein";7000;9,91;"B";26;"Grundschuld";5;156
"nein";15000;6,03;"A";25;"Grundschuld";0;100
"nein";7000;6,03;"A";27;"Grundschuld";9;200
"nein";1875;13,49;"C";24;"Miete";1;14,4
"nein";10000;6,62;"A";26;"Grundschuld";5;74
"nein";4800;10,65;"B";27;"Grundschuld";7;33
"nein";5200;15,96;"C";26;"Miete";1;62
"nein";4800;7,51;"A";38;"Grundschuld";6;35
"ja";12000;15,27;"C";26;"Grundschuld";4;69
"nein";12000;6,62;"A";29;"Grundschuld";4;105
"nein";15000;7,9;"A";22;"Eigentum";2;72
"nein";30000;10,65;"B";25;"Grundschuld";13;94
"ja";7200;8,9;"A";22;"Miete";7;30
"ja";14400;11,71;"B";22;"Grundschuld";3;70
"nein";12000;11,71;"B";32;"Grundschuld";4;75
"nein";10000;12,69;"B";32;"Miete";1;64
"nein";3500;11,71;"B";27;"Miete";1;31,4
"nein";2500;7,9;"A";41;"Grundschuld";5;36
"nein";5000;8,9;"A";34;"Miete";5;20
"nein";10000;12,42;"B";25;"Grundschuld";21;34
"ja";9800;7,51;"A";23;"Miete";12;50
"nein";5000;13,49;"C";30;"Miete";0;21
"nein";12700;17,27;"D";30;"Grundschuld";6;43,4
"nein";6000;8,9;"A";32;"Grundschuld";30;44,5
"nein";7200;10,65;"B";24;"Eigentum";3;66,6
"nein";28000;9,91;"B";24;"Eigentum";3;125
"ja";30000;6,62;"A";22;"Grundschuld";5;61,5
"ja";6000;6,62;"A";23;"Grundschuld";5;66
"ja";14000;7,9;"A";28;"Miete";6;45
"nein";6000;6,62;"A";22;"Miete";2;18
"nein";18000;7,51;"A";25;"Grundschuld";7;115
"nein";3600;12,69;"B";22;"Miete";5;80
"nein";2500;13,49;"C";34;"Grundschuld";6;55
"nein";6000;9,91;"B";24;"Grundschuld";0;112
"nein";4000;7,9;"A";30;"Grundschuld";2;61
"nein";5300;6,62;"A";22;"Miete";3;65
"nein";12000;7,9;"A";22;"Grundschuld";22;50
"nein";3600;16,77;"D";24;"Grundschuld";14;36
"nein";9000;17,58;"D";25;"Miete";16;30
"nein";6000;7,9;"A";33;"Miete";2;22,356
"ja";25000;15,27;"C";30;"Miete";1;100,8
"nein";7200;8,9;"A";26;"Grundschuld";1;85
"nein";7500;7,9;"A";26;"Eigentum";1;35
"nein";7125;7,51;"A";25;"Grundschuld";19;33,6
"nein";1800;7,51;"A";33;"Grundschuld";4;52
"nein";2100;6,03;"A";23;"Grundschuld";14;64
"nein";7800;6,62;"A";22;"Grundschuld";6;50
"nein";8000;9,91;"B";24;"Grundschuld";11;90
"nein";12000;8,9;"A";23;"Miete";6;80,8
"nein";1500;6,62;"A";23;"Grundschuld";5;96
"nein";10400;9,91;"B";32;"Grundschuld";0;110,888
"nein";6225;7,9;"A";28;"Miete";13;81
"ja";4800;8,9;"A";30;"Grundschuld";7;102
"nein";21000;12,69;"B";28;"Miete";7;68,666
"nein";12000;6,03;"A";34;"Miete";17;45
"nein";15000;12,42;"B";23;"Grundschuld";1;88
"nein";7000;6,03;"A";37;"Eigentum";18;22,8
"nein";15000;16,77;"D";28;"Grundschuld";11;122
"nein";12000;13,49;"C";25;"Miete";0;48
"nein";6000;7,9;"A";25;"Miete";21;53
"nein";12800;8,9;"A";23;"Miete";8;38,5
"nein";8000;8,9;"A";24;"Grundschuld";10;150
"nein";5400;8,9;"A";26;"Grundschuld";16;50
"nein";12000;11,71;"B";21;"Miete";0;50
"nein";3000;6,03;"A";25;"Grundschuld";6;80
"nein";4800;7,9;"A";25;"Miete";2;55,2
"nein";6500;15,96;"C";29;"Miete";1;50
"nein";10000;6,62;"A";35;"Grundschuld";14;100
"nein";3600;10,65;"B";23;"Grundschuld";7;76
"nein";2000;11,71;"B";23;"Miete";5;40
"ja";1400;8,9;"A";24;"Grundschuld";8;28,8
"nein";5000;18,25;"D";22;"Eigentum";1;33,6
"nein";23275;12,42;"B";25;"Grundschuld";19;60
"nein";4000;6,62;"A";25;"Eigentum";11;47
"nein";8400;8,9;"A";23;"Grundschuld";7;52
"nein";15600;7,9;"A";32;"Grundschuld";6;90
"nein";11800;6,03;"A";26;"Grundschuld";4;102,5
"nein";13000;11,71;"B";25;"Miete";9;83,195
"nein";7200;7,9;"A";24;"Miete";12;37,2
"nein";6000;14,27;"C";26;"Grundschuld";6;45
"nein";12000;15,27;"C";24;"Grundschuld";5;102
"nein";10250;6,62;"A";25;"Miete";3;60
"nein";14000;11,71;"B";43;"Grundschuld";0;97
"nein";24000;19,42;"E";26;"Grundschuld";20;96
"nein";35000;18,25;"D";26;"Grundschuld";5;130
"nein";2000;13,49;"C";23;"Miete";1;45
"ja";2000;14,27;"C";21;"Grundschuld";10;33
"nein";10000;9,91;"B";25;"Grundschuld";3;26,004
"nein";5000;12,42;"B";24;"Grundschuld";3;130
"nein";5200;7,9;"A";24;"Grundschuld";5;64
"nein";12000;6,62;"A";27;"Miete";13;72
"nein";4000;17,58;"D";26;"Grundschuld";3;40
"nein";1500;7,51;"A";23;"Miete";1;30
"nein";5000;10,65;"B";23;"Miete";3;150
"nein";6000;9,91;"B";22;"Grundschuld";17;60
"nein";4200;8,9;"A";26;"Miete";5;34,4
"nein";9000;12,42;"B";35;"Grundschuld";5;60
"nein";6000;8,9;"A";24;"Grundschuld";18;76
"nein";10500;6,62;"A";24;"Grundschuld";15;57,6
"nein";4800;7,51;"A";22;"Grundschuld";18;49,2
"nein";8000;16,29;"D";23;"Grundschuld";7;68
"nein";12000;10,65;"B";24;"Miete";1;86
"nein";5000;6,03;"A";28;"Miete";3;54,59
"nein";7125;6,62;"A";40;"Grundschuld";12;74,004
"nein";8400;7,51;"A";32;"Grundschuld";5;240
"nein";19000;8,9;"A";23;"Miete";2;78
"nein";8000;15,96;"C";52;"Miete";0;83,2
"nein";15000;12,42;"B";30;"Miete";1;32
"nein";10000;14,27;"C";24;"Miete";3;50
"nein";9000;10,65;"B";23;"Grundschuld";14;104
"nein";13275;17,58;"D";23;"Miete";5;54
"nein";5500;6,03;"A";22;"Grundschuld";9;65,004
"nein";6500;6,03;"A";23;"Eigentum";5;42
"nein";2400;16,29;"D";22;"Miete";1;21,6
"nein";1000;16,29;"D";27;"Grundschuld";11;32
"nein";3800;10,65;"B";25;"Grundschuld";5;45
"nein";10000;11,71;"B";24;"Grundschuld";2;60
"nein";4800;7,51;"A";25;"Miete";9;45
"ja";23800;8,9;"A";24;"Eigentum";5;102
"nein";2000;7,9;"A";26;"Miete";1;61
"nein";9600;9,91;"B";31;"Miete";1;80
"nein";3000;14,27;"C";31;"Miete";29;56
"nein";2500;6,03;"A";21;"Eigentum";8;15,3
"nein";19075;7,9;"A";26;"Grundschuld";5;82
"nein";8000;6,62;"A";42;"Grundschuld";2;136,173
"nein";12000;12,42;"B";32;"Grundschuld";11;73,527
"nein";5600;15,96;"C";34;"Grundschuld";9;48
"nein";2400;16,29;"D";21;"Miete";6;24
"nein";7000;6,62;"A";22;"Miete";4;80
"nein";3000;7,51;"A";24;"Grundschuld";9;60
"nein";5000;6,03;"A";24;"Grundschuld";3;70
"nein";5000;15,27;"C";25;"Grundschuld";1;60
"nein";6500;6,03;"A";37;"Grundschuld";9;55,236
"nein";12000;6,62;"A";34;"Grundschuld";27;165
"nein";2800;14,65;"C";24;"Miete";5;86,4
"nein";8150;7,51;"A";22;"Grundschuld";2;75
"nein";8000;14,65;"C";32;"Grundschuld";2;45
"nein";14800;19,42;"E";25;"Grundschuld";1;76,7
"nein";8000;12,69;"B";26;"Miete";4;38
"nein";1500;12,69;"B";28;"Miete";11;39,6
"nein";10000;13,49;"C";24;"Grundschuld";1;35,64
"nein";9000;7,51;"A";23;"Miete";1;60
"nein";3000;14,27;"C";24;"Miete";28;115,15416
"nein";4900;9,91;"B";27;"Miete";8;43
"ja";12000;7,9;"A";34;"Miete";3;187
"nein";1000;6,03;"A";23;"Miete";2;40
"nein";4500;6,62;"A";34;"Miete";0;32
"nein";5000;6,62;"A";23;"Miete";4;24
"nein";12000;17,27;"D";30;"Miete";11;102
"nein";12000;6,03;"A";28;"Grundschuld";5;64
"nein";2400;12,69;"B";27;"Miete";6;60,5
"nein";7500;8,9;"A";36;"Miete";8;55
"nein";6000;6,03;"A";27;"Grundschuld";4;80
"nein";3950;6,03;"A";27;"Grundschuld";7;109
"nein";1800;11,99;"B";40;"Miete";2;19,2
"nein";6800;11,71;"B";80;"Miete";7;64
"nein";6650;12,69;"B";24;"Miete";2;56
"nein";1500;12,69;"B";27;"Miete";0;20,004
"nein";14000;12,69;"B";32;"Grundschuld";0;45
"nein";6000;7,9;"A";24;"Miete";0;57
"nein";7500;6,03;"A";49;"Grundschuld";12;95
"nein";3700;9,91;"B";32;"Miete";9;25
"nein";7000;7,9;"A";22;"Miete";13;40
"nein";9600;11,71;"B";26;"Miete";7;53
"nein";9100;6,03;"A";38;"Grundschuld";19;75
"nein";20000;10,65;"B";32;"Grundschuld";20;95
"nein";35000;7,9;"A";23;"Miete";2;115
"nein";4500;6,03;"A";21;"Miete";4;42
"nein";5000;7,51;"A";28;"Grundschuld";11;115
"nein";6000;6,03;"A";24;"Miete";0;55
"ja";2400;10,65;"B";30;"Grundschuld";30;31
"nein";16000;15,96;"C";24;"Grundschuld";15;162
"nein";14000;6,03;"A";42;"Miete";12;75
"nein";6500;6,62;"A";26;"Grundschuld";14;30
"ja";5000;9,91;"B";31;"Miete";4;30
"nein";10000;6,03;"A";22;"Eigentum";12;42
"nein";2500;8,9;"A";24;"Grundschuld";3;33,6
"nein";9600;12,69;"B";25;"Miete";8;75
"nein";4000;7,9;"A";22;"Miete";3;30
"nein";7200;7,51;"A";23;"Grundschuld";4;105
"nein";2500;11,71;"B";28;"Grundschuld";7;68
"nein";7000;16,29;"D";23;"Grundschuld";15;80
"nein";7500;6,62;"A";45;"Grundschuld";9;140
"nein";30000;6,62;"A";29;"Grundschuld";15;94
"nein";3625;6,03;"A";32;"Miete";3;65
"nein";20000;8,9;"A";32;"Miete";4;66
"nein";11000;10,65;"B";36;"Grundschuld";36;82,5
"nein";7000;13,49;"C";34;"Grundschuld";4;55
"ja";1000;13,49;"C";28;"Miete";0;18
"nein";15700;7,9;"A";24;"Grundschuld";11;58
"nein";8800;12,69;"B";24;"Grundschuld";3;109
"nein";19750;7,51;"A";23;"Miete";3;38
"nein";11200;6,03;"A";32;"Grundschuld";37;54
"ja";6775;7,9;"A";25;"Miete";15;75
"ja";6000;13,49;"C";22;"Grundschuld";11;85
"nein";3500;6,62;"A";28;"Eigentum";15;70,254
"nein";4000;7,9;"A";21;"Miete";4;45
"nein";6000;13,49;"C";23;"Miete";0;30
"nein";2500;16,29;"D";30;"Miete";5;45,3
"nein";4400;12,42;"B";53;"Miete";5;24
"nein";13250;7,9;"A";30;"Miete";2;45
"nein";6000;12,69;"B";32;"Miete";3;80
"nein";2400;16,77;"D";22;"Miete";3;32,4
"nein";16000;6,03;"A";33;"Eigentum";13;56,1
"nein";4800;8,9;"A";28;"Miete";7;118
"nein";7000;6,62;"A";30;"Grundschuld";16;88,8
"nein";16100;7,9;"A";23;"Grundschuld";7;75
"ja";4500;13,49;"C";27;"Eigentum";3;55
"ja";6800;10,65;"B";23;"Miete";3;52,852
"nein";10000;6,03;"A";24;"Miete";2;56
"nein";6000;6,62;"A";22;"Miete";8;55
"nein";19450;9,91;"B";29;"Grundschuld";6;82,6
"nein";2400;10,65;"B";28;"Miete";4;70
"nein";14000;6,62;"A";25;"Grundschuld";1;115,2
"nein";10000;7,9;"A";35;"Grundschuld";16;150
"nein";1950;12,42;"B";36;"Miete";6;90
"nein";2900;9,91;"B";26;"Miete";0;31,2
"nein";6000;9,91;"B";22;"Grundschuld";5;40,058
"nein";2450;7,9;"A";22;"Miete";0;24
"nein";15000;6,03;"A";27;"Eigentum";17;57
"ja";5600;11,71;"B";29;"Grundschuld";8;39
"nein";4800;15,96;"C";25;"Miete";8;50
"nein";6075;6,03;"A";32;"Grundschuld";5;66,3
"nein";9500;16,77;"D";31;"Grundschuld";2;46
"nein";6000;16,29;"D";35;"Miete";2;26,4
"nein";6300;7,51;"A";25;"Miete";11;54,503
"nein";15000;9,91;"B";29;"Miete";4;57
"nein";5000;6,03;"A";32;"Miete";6;37,5
"nein";5500;11,71;"B";22;"Grundschuld";7;72,06
"nein";5500;7,51;"A";30;"Miete";11;60
"nein";4500;7,9;"A";24;"Miete";2;55
"ja";15000;15,27;"C";38;"Grundschuld";6;90
"nein";13200;12,42;"B";21;"Eigentum";1;52
"nein";5000;6,62;"A";35;"Grundschuld";5;38
"nein";12000;9,91;"B";27;"Miete";9;50,6
"nein";8000;16,29;"D";27;"Miete";8;56,888
"ja";10000;15,96;"C";25;"Miete";0;39
"nein";30000;9,91;"B";23;"Eigentum";2;80,196
"nein";35000;17,58;"D";31;"Grundschuld";0;305
"nein";4700;7,9;"A";23;"Miete";12;41
"nein";1800;10,65;"B";24;"Miete";2;21
"nein";7425;6,03;"A";23;"Grundschuld";15;65
"nein";25600;12,69;"B";24;"Grundschuld";17;85
"nein";4400;19,91;"E";22;"Miete";0;14,4
"nein";3600;12,69;"B";22;"Miete";4;31
"nein";16000;11,71;"B";25;"Miete";3;40
"nein";5000;7,9;"A";22;"Grundschuld";5;35
"ja";2100;9,91;"B";24;"Miete";2;105
"nein";15000;13,49;"C";23;"Miete";7;42
"nein";9000;16,29;"D";38;"Miete";5;45,6
"nein";3000;10,65;"B";24;"Miete";15;51,6
"nein";12000;8,9;"A";27;"Miete";13;93
"nein";1800;14,27;"C";36;"Miete";3;45
"nein";10625;7,9;"A";29;"Miete";1;35
"nein";18000;20,89;"F";25;"Grundschuld";15;72
"nein";6400;7,9;"A";23;"Eigentum";4;27
"nein";17500;7,9;"A";26;"Miete";4;75
"nein";9600;6,03;"A";25;"Grundschuld";24;60
"nein";12000;11,71;"B";25;"Miete";9;38,34
"nein";8000;12,69;"B";30;"Grundschuld";4;84,996
"nein";4000;8,9;"A";24;"Grundschuld";14;62,4
"nein";6400;10,65;"B";24;"Miete";2;65
"nein";15000;14,27;"C";22;"Miete";10;34,8
"nein";2200;12,69;"B";25;"Miete";5;38,4
"nein";5600;6,62;"A";24;"Miete";5;38
"nein";5000;17,27;"D";22;"Miete";6;60
"nein";5000;10,65;"B";24;"Miete";4;49
"ja";6000;12,42;"B";25;"Eigentum";8;68
"nein";5000;11,71;"B";28;"Grundschuld";4;70
"nein";5000;10,65;"B";21;"Miete";18;35
"nein";7200;16,29;"D";43;"Grundschuld";17;65
"nein";9000;9,91;"B";22;"Miete";1;65
"nein";4000;17,58;"D";24;"Miete";1;50
"nein";14000;16,77;"D";29;"Grundschuld";0;145
"nein";15000;11,71;"B";33;"Grundschuld";16;100
"nein";21600;7,9;"A";24;"Miete";20;112,14
"nein";13225;12,42;"B";31;"Miete";1;88
"nein";20000;11,71;"B";23;"Eigentum";9;48
"ja";3000;9,91;"B";26;"Eigentum";6;50
"nein";16000;6,03;"A";22;"Grundschuld";13;90
"nein";5000;16,77;"D";23;"Grundschuld";5;82
"nein";32000;7,9;"A";30;"Grundschuld";8;135
"nein";7000;6,03;"A";22;"Grundschuld";2;25,2
"ja";8000;7,9;"A";27;"Miete";22;42,67248
"nein";6000;10,65;"B";42;"Miete";6;160
"nein";3000;7,9;"A";22;"Eigentum";3;18
"nein";1000;14,65;"C";26;"Miete";1;25
"nein";11000;16,77;"D";24;"Grundschuld";3;58
"nein";20000;7,9;"A";27;"Miete";4;140
"nein";6000;7,51;"A";21;"Grundschuld";2;62
"nein";6300;15,96;"C";22;"Miete";7;50,724
"nein";6000;8,9;"A";27;"Miete";4;23
"nein";10000;18,25;"D";35;"Grundschuld";31;95,234
"nein";9200;6,03;"A";29;"Eigentum";5;56
"nein";9975;16,29;"D";40;"Miete";2;79
"ja";17000;15,27;"C";22;"Grundschuld";1;75
"nein";9600;7,51;"A";23;"Grundschuld";11;71
"nein";8600;6,03;"A";23;"Grundschuld";7;53,724
"nein";6400;16,29;"D";44;"Grundschuld";13;58
"nein";12800;8,9;"A";22;"Miete";0;40
"nein";5400;8,9;"A";21;"Grundschuld";2;47
"nein";5000;15,96;"C";44;"Miete";19;98
"nein";9600;7,9;"A";32;"Grundschuld";7;73
"ja";10000;16,29;"D";36;"Eigentum";4;36
"nein";7500;16,77;"D";29;"Miete";0;115
"nein";18000;8,9;"A";22;"Grundschuld";11;99
"nein";8325;7,51;"A";31;"Miete";1;26,9
"nein";7000;7,51;"A";31;"Miete";0;24
"nein";18825;8,9;"A";29;"Grundschuld";18;55,53
"nein";5000;9,91;"B";25;"Grundschuld";11;55
"nein";8400;17,27;"D";26;"Miete";4;68,92608
"ja";2500;11,71;"B";21;"Grundschuld";4;32
"nein";5000;7,9;"A";33;"Miete";11;85
"nein";4200;15,27;"C";24;"Grundschuld";9;65
"nein";8500;7,51;"A";40;"Eigentum";2;25
"ja";6000;8,9;"A";25;"Grundschuld";4;71
"nein";15350;8,9;"A";27;"Grundschuld";6;45,6
"nein";12000;13,49;"C";22;"Miete";6;75
"nein";5000;11,71;"B";23;"Grundschuld";5;78
"nein";7000;7,9;"A";23;"Miete";0;72
"nein";12000;6,03;"A";24;"Grundschuld";4;128
"nein";10200;7,51;"A";36;"Miete";3;132
"nein";15000;7,9;"A";36;"Eigentum";11;36
"ja";3000;6,62;"A";25;"Miete";19;35
"nein";16000;6,62;"A";29;"Grundschuld";13;144
"nein";14000;6,62;"A";38;"Grundschuld";12;160
"nein";7000;11,71;"B";30;"Grundschuld";14;275
"ja";7000;6,03;"A";23;"Miete";18;80
"nein";7200;9,91;"B";46;"Grundschuld";13;170
"nein";1900;7,51;"A";31;"Grundschuld";22;72
"nein";10000;7,9;"A";23;"Miete";0;40
"nein";17000;7,51;"A";24;"Miete";3;55,782
"nein";2200;5,99;"A";29;"Miete";4;14,4
"nein";25600;12,69;"B";23;"Miete";1;120
"nein";9600;11,71;"B";24;"Miete";1;69,996
"nein";7200;6,62;"A";26;"Grundschuld";7;50
"nein";12000;6,62;"A";24;"Miete";0;75
"nein";15000;12,42;"B";26;"Miete";2;156
"nein";10000;11,71;"B";24;"Miete";1;50
"nein";7600;6,03;"A";21;"Grundschuld";7;30
"ja";15000;11,71;"B";23;"Miete";1;40
"nein";3000;7,9;"A";39;"Grundschuld";2;45
"nein";4000;12,42;"B";29;"Miete";1;21,864
"nein";15000;14,65;"C";28;"Miete";1;28,8
"nein";6000;8,9;"A";26;"Grundschuld";2;52
"nein";15000;8,9;"A";24;"Grundschuld";3;50
"nein";15000;6,03;"A";29;"Eigentum";4;62
"nein";4000;15,27;"C";23;"Grundschuld";2;44
"nein";3000;10,65;"B";31;"Grundschuld";9;67
"nein";18000;14,65;"C";28;"Miete";4;60,372
"nein";9000;12,69;"B";24;"Miete";1;86,25
"nein";3825;14,27;"C";28;"Miete";4;29,95
"nein";14000;7,9;"A";22;"Miete";4;82
"nein";6000;7,9;"A";27;"Miete";3;25,2
"ja";3500;7,9;"A";23;"Grundschuld";0;86,964
"nein";8000;17,27;"D";26;"Grundschuld";2;65
"nein";1000;9,91;"B";22;"Eigentum";36;50
"nein";12000;9,91;"B";25;"Miete";0;36
"nein";2400;12,69;"B";23;"Grundschuld";5;92
"nein";6000;12,69;"B";28;"Grundschuld";14;96
"nein";12000;6,62;"A";32;"Miete";3;80
"ja";8000;6,62;"A";44;"Grundschuld";8;40
"nein";7000;13,49;"C";26;"Miete";8;90
"nein";25000;7,9;"A";28;"Grundschuld";5;131,004
"ja";7000;14,65;"C";29;"Miete";2;38
"nein";3000;14,27;"C";23;"Miete";1;70
"nein";14000;6,03;"A";37;"Miete";6;105
"nein";10000;14,27;"C";27;"Miete";7;90
"nein";11000;6,62;"A";25;"Grundschuld";4;80
"nein";8000;10,65;"B";24;"Eigentum";5;36
"nein";11000;11,71;"B";23;"Eigentum";2;45,8432
"nein";9000;7,51;"A";28;"Grundschuld";4;52,26
"ja";2500;15,27;"C";25;"Grundschuld";4;104,085
"nein";12000;6,03;"A";30;"Miete";4;53
"nein";10000;11,99;"B";23;"Miete";4;33
"nein";10000;9,91;"B";23;"Grundschuld";7;68
"nein";15000;8,9;"A";36;"Miete";4;50
"nein";3000;12,69;"B";22;"Miete";3;25
"nein";1200;6,62;"A";30;"Eigentum";7;42
"nein";14400;9,91;"B";33;"Miete";0;58
