"";"Name";"ISIN Code";"Sektor";"Jahr";"Index";"fkq";"lfk";"kfk";"uw";"lngroesse";"sach";"ebit";"ndts";"steuer";"beta";"BIP";"ZS";"INFL";"MP"
"1064";"DIC ASSET (XET)";NA;"Real Estate Hold, Dev";2012;"SDAX";0,6694;0,6019;0,0675;0,1203;12,03;0,8457;0,0366;0,0153;0,0289;0,97;0,69;0,93;2;0,2566
"1065";"DIC ASSET (XET)";NA;"Real Estate Hold, Dev";2013;"SDAX";0,6699;0,6036;0,0663;-0,0266;12;0,8771;0,0313;0,0137;0,0243;0,8;0,59;1,35;1,5;0,2331
"1066";"DIC ASSET (XET)";NA;"Real Estate Hold, Dev";2014;"SDAX";0,6642;0,5024;0,1618;0,1927;12,18;0,8549;0,0383;0,0172;0,0172;0,61;1,6;0,95;0,9;0,0516
"1067";"DIC ASSET (XET)";NA;"Real Estate Hold, Dev";2015;"SDAX";0,5492;0,5346;0,0146;-0,0442;12,13;0,6992;0,0388;0,0348;0,0364;0,61;1,48;0,52;0,3;0,0986
"1068";"DIEBOLD NIXDORF (XET)";"DE000A0CAYB2";"Computer Services";2005;"MDAX";0,2089;0,0038;0,2051;0,1065;14,37;0,098;0,0953;0,0475;0,3421;0,92;0,88;1,17;1,6;0,253
"1069";"DIEBOLD NIXDORF (XET)";NA;"Computer Services";2006;"MDAX";0,1819;0,1673;0,0147;0,1169;14,48;0,0904;0,1361;0,0318;0,2946;0,99;3,87;0,68;1,5;0,1916
"1070";"DIEBOLD NIXDORF (XET)";NA;"Computer Services";2007;"MDAX";0,1705;0,1404;0,0301;0,1011;14,58;0,0949;0,1474;0,0348;0,2906;0,88;3,38;-0,06;2,3;0,2236
"1071";"DIEBOLD NIXDORF (XET)";NA;"Computer Services";2008;"MDAX";0,1673;0,1481;0,0192;0,0811;14,66;0,1138;0,1559;0,037;0,2776;0,78;0,82;-0,65;2,6;-0,4072
"1072";"DIEBOLD NIXDORF (XET)";NA;"Computer Services";2009;"MDAX";0,1418;0,1317;0,0101;-0,0295;14,63;0,124;0,1483;0,0466;0,2845;0,61;-5,57;1,99;0,3;0,1979
"1073";"DIEBOLD NIXDORF (XET)";NA;"Computer Services";2010;"MDAX";0,124;0,0926;0,0313;-0,0048;14,62;0,1231;0,1303;0,0407;0,3065;0,82;3,95;1,93;1,1;0,1606
"1074";"DIEBOLD NIXDORF (XET)";NA;"Computer Services";2011;"MDAX";0,1555;0,0016;0,1538;0,0396;14,66;0,1178;0,1273;0,0423;0,2893;0,75;3,72;1,22;2,1;-0,1511
"1075";"DIEBOLD NIXDORF (XET)";NA;"Computer Services";2012;"MDAX";0,1728;0,0958;0,077;0,0064;14,67;0,1018;0,0731;0,0466;0,269;1,02;0,69;0,93;2;0,2566
"1076";"DIEBOLD NIXDORF (XET)";NA;"Computer Services";2013;"MDAX";0,1213;0,0659;0,0555;0,0521;14,72;0,0935;0,0954;0,0386;0,2783;0,53;0,59;1,35;1,5;0,2331
"1077";"DIEBOLD NIXDORF (XET)";NA;"Computer Services";2014;"MDAX";0,1128;0,0572;0,0557;0,0018;14,72;0,0833;0,1022;0,0363;0,2761;0,94;1,6;0,95;0,9;0,0516
"1078";"DIEBOLD NIXDORF (XET)";NA;"Computer Services";2015;"MDAX";0,1218;0,045;0,0768;-0,0172;14,7;0,083;0,0145;0,0355;0,3371;1,1;1,48;0,52;0,3;0,0986
"1079";"DMG MORI (XET)";"DE0005878003";"Industrial Machinery";2005;"SDAX";0,3378;0,2881;0,0496;0,0708;13,93;0,1726;0,0609;0,0335;0,2081;0,51;0,88;1,17;1,6;0,253
"1080";"DMG MORI (XET)";NA;"Industrial Machinery";2006;"SDAX";0,2866;0,2494;0,0373;0,1804;14,1;0,1818;0,0855;0,0353;0,2574;0,73;3,87;0,68;1,5;0,1916
"1081";"DMG MORI (XET)";NA;"Industrial Machinery";2007;"SDAX";0,239;0,0421;0,1969;0,1754;14,26;0,1646;0,1007;0,0287;0,2947;1,43;3,38;-0,06;2,3;0,2236
"1082";"DMG MORI (XET)";NA;"Industrial Machinery";2008;"SDAX";0,2816;0,1786;0,103;0,2189;14,46;0,148;0,115;0,0225;0,2912;1,25;0,82;-0,65;2,6;-0,4072
"1083";"DMG MORI (XET)";NA;"Industrial Machinery";2009;"SDAX";0,2976;0,2137;0,0838;-0,3796;13,98;0,1766;0,0275;0,0261;0,0782;1,75;-5,57;1,99;0,3;0,1979
"1084";"DMG MORI (XET)";NA;"Industrial Machinery";2010;"SDAX";0,2538;0,1693;0,0845;0,1656;14,14;0,1533;0,031;0,0224;0,0547;1,67;3,95;1,93;1,1;0,1606
"1085";"DMG MORI (XET)";NA;"Industrial Machinery";2011;"SDAX";0,0351;0,0127;0,0224;0,2258;14,34;0,1639;0,0713;0,0253;0,2252;1,15;3,72;1,22;2,1;-0,1511
"1086";"DMG MORI (XET)";NA;"Industrial Machinery";2012;"SDAX";0,0147;0,0031;0,0116;0,2072;14,53;0,1675;0,0854;0,026;0,2811;1,05;0,69;0,93;2;0,2566
"1087";"DMG MORI (XET)";NA;"Industrial Machinery";2013;"SDAX";0,0096;0,0024;0,0072;0,0083;14,54;0,1618;0,0742;0,0236;0,2873;1,1;0,59;1,35;1,5;0,2331
"1088";"DMG MORI (XET)";NA;"Industrial Machinery";2014;"SDAX";0,0311;0,0202;0,0109;0,0851;14,62;0,1816;0,0855;0,0229;0,2915;1,31;1,6;0,95;0,9;0,0516
"1089";"DMG MORI (XET)";NA;"Industrial Machinery";2015;"SDAX";0,028;0,0191;0,009;0,034;14,65;0,2079;0,1013;0,0256;0,2552;0,5;1,48;0,52;0,3;0,0986
"1090";"ELRINGKLINGER (XET)";"DE0007856023";"Auto Parts";2005;"SDAX";0,1919;0,1133;0,0785;0,0465;13,07;0,4723;0,1695;0,0888;0,322;0,96;0,88;1,17;1,6;0,253
"1091";"ELRINGKLINGER (XET)";NA;"Auto Parts";2006;"SDAX";0,1426;0,1078;0,0348;0,1134;13,18;0,5212;0,2005;0,0934;0,2745;0,48;3,87;0,68;1,5;0,1916
"1092";"ELRINGKLINGER (XET)";NA;"Auto Parts";2007;"SDAX";0,1736;0,1007;0,073;0,1503;13,32;0,4536;0,2151;0,0767;0,2845;0,75;3,38;-0,06;2,3;0,2236
"1093";"ELRINGKLINGER (XET)";NA;"Auto Parts";2008;"SDAX";0,3448;0,2005;0,1443;0,0822;13,4;0,4814;0,0926;0,0799;0,2429;0,87;0,82;-0,65;2,6;-0,4072
"1094";"ELRINGKLINGER (XET)";NA;"Auto Parts";2009;"MDAX";0,2921;0,2176;0,0745;-0,1193;13,27;0,5115;0,0805;0,0928;0,2394;1,48;-5,57;1,99;0,3;0,1979
"1095";"ELRINGKLINGER (XET)";NA;"Auto Parts";2010;"MDAX";0,207;0,1271;0,0799;0,3734;13,59;0,4669;0,108;0,0842;0,244;1,23;3,95;1,93;1,1;0,1606
"1096";"ELRINGKLINGER (XET)";NA;"Auto Parts";2011;"MDAX";0,2403;0,1348;0,1054;0,2981;13,85;0,4492;0,1218;0,0786;0,2679;1,18;3,72;1,22;2,1;-0,1511
"1097";"ELRINGKLINGER (XET)";NA;"Auto Parts";2012;"MDAX";0,254;0,1057;0,1483;0,0914;13,94;0,456;0,1108;0,0641;0,2507;1,02;0,69;0,93;2;0,2566
"1098";"ELRINGKLINGER (XET)";NA;"Auto Parts";2013;"MDAX";0,2585;0,1713;0,0872;0,0426;13,98;0,4417;0,1163;0,0548;0,236;0,88;0,59;1,35;1,5;0,2331
"1099";"ELRINGKLINGER (XET)";NA;"Auto Parts";2014;"MDAX";0,2691;0,1732;0,0958;0,1281;14,1;0,4568;0,1064;0,0513;0,2577;1,16;1,6;0,95;0,9;0,0516
"1100";"ELRINGKLINGER (XET)";NA;"Auto Parts";2015;"MDAX";0,3058;0,1862;0,1197;0,1368;14,23;0,4723;0,0806;0,05;0,2336;1,16;1,48;0,52;0,3;0,0986
"1101";"GERRY WEBER INTL. (XET)";"DE0003304101";"Clothing & Accessory";2005;"SDAX";0,2524;0,1042;0,1482;0,107;12,87;0,3372;0,1559;0,0283;0,3522;1,24;0,88;1,17;1,6;0,253
"1102";"GERRY WEBER INTL. (XET)";NA;"Clothing & Accessory";2006;"SDAX";0,257;0,1175;0,1395;0,1452;13;0,3412;0,1732;0,0309;0,3839;0,78;3,87;0,68;1,5;0,1916
"1103";"GERRY WEBER INTL. (XET)";NA;"Clothing & Accessory";2007;"SDAX";0,2364;0,1265;0,11;0,145;13,14;0,3149;0,1894;0,0384;0,3838;0,24;3,38;-0,06;2,3;0,2236
"1104";"GERRY WEBER INTL. (XET)";NA;"Clothing & Accessory";2008;"SDAX";0,1831;0,087;0,0961;0,1241;13,25;0,3134;0,2109;0,038;0,2882;0,47;0,82;-0,65;2,6;-0,4072
"1105";"GERRY WEBER INTL. (XET)";NA;"Clothing & Accessory";2009;"SDAX";0,1936;0,1473;0,0463;0,0422;13,29;0,3221;0,2438;0,0403;0,3305;0,33;-5,57;1,99;0,3;0,1979
"1106";"GERRY WEBER INTL. (XET)";NA;"Clothing & Accessory";2010;"SDAX";0,1102;0,0674;0,0427;0,047;13,34;0,3173;0,2563;0,0369;0,3094;0,52;3,95;1,93;1,1;0,1606
"1107";"GERRY WEBER INTL. (XET)";NA;"Clothing & Accessory";2011;"MDAX";0,0518;0,0369;0,0149;0,1299;13,46;0,2854;0,2411;0,029;0,3081;0,63;3,72;1,22;2,1;-0,1511
"1108";"GERRY WEBER INTL. (XET)";NA;"Clothing & Accessory";2012;"MDAX";0,0319;0,0206;0,0113;0,1417;13,6;0,3335;0,241;0,0341;0,3028;0,74;0,69;0,93;2;0,2566
"1109";"GERRY WEBER INTL. (XET)";NA;"Clothing & Accessory";2013;"MDAX";0,0224;0,0109;0,0115;0,062;13,66;0,3164;0,2005;0,0412;0,3026;0,75;0,59;1,35;1,5;0,2331
"1110";"GERRY WEBER INTL. (XET)";NA;"Clothing & Accessory";2014;"MDAX";0,1239;0,1136;0,0103;1e-04;13,66;0,2873;0,1593;0,0372;0,307;1;1,6;0,95;0,9;0,0516
"1111";"GERRY WEBER INTL. (XET)";NA;"Clothing & Accessory";2015;"SDAX";0,2686;0,2303;0,0383;0,0807;13,73;0,3084;0,0855;0,0391;0,2617;0,9;1,48;0,52;0,3;0,0986
"1112";"GFK (XET)";"DE0005875306";"Media Agencies";2005;"SDAX";0,3922;0,3851;0,0071;0,3954;13,75;0,0556;0,076;0,025;0,2237;0,16;0,88;1,17;1,6;0,253
"1113";"GFK (XET)";NA;"Media Agencies";2006;"SDAX";0,3802;0,3379;0,0423;0,1865;13,92;0,055;0,0862;0,0313;0,1775;0,72;3,87;0,68;1,5;0,1916
"1114";"GFK (XET)";NA;"Media Agencies";2007;"SDAX";0,3342;0,2228;0,1113;0,0449;13,97;0,0576;0,1023;0,031;0,1758;0,25;3,38;-0,06;2,3;0,2236
"1115";"GFK (XET)";NA;"Media Agencies";2008;"SDAX";0,3372;0,2211;0,1161;0,0502;14,01;0,066;0,098;0,0339;0,2232;0,66;0,82;-0,65;2,6;-0,4072
"1116";"GFK (XET)";NA;"Media Agencies";2009;"SDAX";0,3339;0,2424;0,0915;-0,0458;13,97;0,0704;0,0579;0,0346;0,1732;0,55;-5,57;1,99;0,3;0,1979
"1117";"GFK (XET)";NA;"Media Agencies";2010;"SDAX";0,2662;0,2026;0,0637;0,1114;14,07;0,0673;0,0843;0,0312;0,3002;0,46;3,95;1,93;1,1;0,1606
"1118";"GFK (XET)";NA;"Media Agencies";2011;"SDAX";0,2445;0,1869;0,0576;0,0616;14,13;0,0631;0,0834;0,0306;0,264;0,49;3,72;1,22;2,1;-0,1511
"1119";"GFK (XET)";NA;"Media Agencies";2012;"SDAX";0,0856;0;0,0856;0,1024;14,23;0,0611;0,0729;0,0349;0,3309;0,37;0,69;0,93;2;0,2566
"1120";"GFK (XET)";NA;"Media Agencies";2013;"SDAX";0,2601;0,2467;0,0134;-0,0131;14,22;0,0625;0,0154;0,1187;0;0,37;0,59;1,35;1,5;0,2331
"1121";"GFK (XET)";NA;"Media Agencies";2014;"SDAX";0,231;0,2081;0,0229;-0,028;14,19;0,0671;0,04;0,0374;0,4087;0,47;1,6;0,95;0,9;0,0516
"1122";"GFK (XET)";NA;"Media Agencies";2015;"SDAX";0,2425;0,1384;0,104;0,0623;14,25;0,0585;0,0593;0,0353;0,4423;0,32;1,48;0,52;0,3;0,0986
"1123";"GRAMMER (XET)";"DE0005895403";"Auto Parts";2005;"SDAX";0,1459;0,0165;0,1295;0,042;13,66;0,3133;0,0747;0,058;0,2798;0,67;0,88;1,17;1,6;0,253
"1124";"GRAMMER (XET)";NA;"Auto Parts";2006;"SDAX";0,194;0,1586;0,0354;0,0252;13,69;0,2824;0,0799;0,0512;0,2897;0,44;3,87;0,68;1,5;0,1916
"1125";"GRAMMER (XET)";NA;"Auto Parts";2007;"SDAX";0,1959;0,1468;0,0491;0,1329;13,81;0,2725;0,0662;0,0488;0,1663;0,54;3,38;-0,06;2,3;0,2236
"1126";"GRAMMER (XET)";NA;"Auto Parts";2008;"SDAX";0,2208;0,1518;0,069;0,0089;13,82;0,3003;0,063;0,0509;0,188;0,73;0,82;-0,65;2,6;-0,4072
"1127";"GRAMMER (XET)";NA;"Auto Parts";2009;"SDAX";0,2736;0,1572;0,1164;-0,2776;13,5;0,3027;-0,0492;0,0566;0,144;1,33;-5,57;1,99;0,3;0,1979
"1128";"GRAMMER (XET)";NA;"Auto Parts";2010;"SDAX";0,256;0,1899;0,0662;0,278;13,74;0,2938;0,0594;0,0504;0,1364;0,98;3,95;1,93;1,1;0,1606
"1129";"GRAMMER (XET)";NA;"Auto Parts";2011;"SDAX";0,2384;0,2216;0,0168;0,1762;13,9;0,2722;0,0762;0,0469;0,272;1,15;3,72;1,22;2,1;-0,1511
"1130";"GRAMMER (XET)";NA;"Auto Parts";2012;"SDAX";0,2411;0,1252;0,1159;0,0458;13,95;0,2638;0,0691;0,0462;0,264;1,34;0,69;0,93;2;0,2566
"1131";"GRAMMER (XET)";NA;"Auto Parts";2013;"SDAX";0,2631;0,2092;0,0539;0,1068;14,05;0,249;0,0709;0,0473;0,25;1,14;0,59;1,35;1,5;0,2331
"1132";"GRAMMER (XET)";NA;"Auto Parts";2014;"SDAX";0,2249;0,1904;0,0346;0,0792;14,13;0,2425;0,0701;0,0466;0,2671;1,56;1,6;0,95;0,9;0,0516
"1133";"GRAMMER (XET)";NA;"Auto Parts";2015;"SDAX";0,3109;0,2404;0,0705;0,0438;14,17;0,2357;0,0454;0,0432;0,2801;1,53;1,48;0,52;0,3;0,0986
"1134";"GRENKE N (XET)";"DE000A161N30";"Business Support Svs.";2005;"SDAX";0,7366;0,4127;0,3239;0,1328;13,17;0,0224;0,0651;0,0015;0,2436;0,41;0,88;1,17;1,6;0,253
"1135";"GRENKE N (XET)";NA;"Business Support Svs.";2006;"SDAX";0,7353;0,5429;0,1924;0,0288;13,2;0,0242;0,066;0,0016;0,2255;0,13;3,87;0,68;1,5;0,1916
"1136";"GRENKE N (XET)";NA;"Business Support Svs.";2007;"SDAX";0,732;0,4542;0,2778;0,0355;13,23;0,0263;0,0649;0,0018;0,1568;1,19;3,38;-0,06;2,3;0,2236
"1137";"GRENKE N (XET)";NA;"Business Support Svs.";2008;"SDAX";0,7396;0,4291;0,3105;0,2235;13,43;0,0248;0,063;0,0019;0,1273;0,53;0,82;-0,65;2,6;-0,4072
"1138";"GRENKE N (XET)";NA;"Business Support Svs.";2009;"SDAX";0,7378;0,4299;0,3079;-0,1363;13,29;0,0238;0,0523;0,002;0,1162;0,17;-5,57;1,99;0,3;0,1979
"1139";"GRENKE N (XET)";NA;"Business Support Svs.";2010;"SDAX";0,7483;0,5003;0,248;0,4062;13,63;0,0216;0,0499;0,0016;0,1057;0,66;3,95;1,93;1,1;0,1606
"1140";"GRENKE N (XET)";NA;"Business Support Svs.";2011;"SDAX";0,782;0,5086;0,2734;0,1797;13,79;0,0183;0,0529;0,0014;0,1084;0,39;3,72;1,22;2,1;-0,1511
"1141";"GRENKE N (XET)";NA;"Business Support Svs.";2012;"SDAX";0,7894;0,5155;0,2739;0,1555;13,94;0,0159;0,051;0,0014;0,1448;0,2;0,69;0,93;2;0,2566
"1142";"GRENKE N (XET)";NA;"Business Support Svs.";2013;"SDAX";0,6866;0,4325;0,2541;-0,7381;12,6;0,0153;0,0473;0,0021;0,1395;0,05;0,59;1,35;1,5;0,2331
"1143";"GRENKE N (XET)";NA;"Business Support Svs.";2014;"SDAX";0,6927;0,4792;0,2135;0,1151;12,71;0,0139;0,0489;0,0024;0,1541;0,86;1,6;0,95;0,9;0,0516
"1144";"GRENKE N (XET)";NA;"Business Support Svs.";2015;"SDAX";0,6867;0,4377;0,249;0,1368;12,84;0,0134;0,0456;0,0023;0,1816;0,45;1,48;0,52;0,3;0,0986
"1145";"HAMBORNER REIT (XET)";"DE0006013006";"Diversified REITs";2005;NA;0,0105;8e-04;0,0097;0,0026;9,71;0,6751;0,0509;0,0163;0,2274;0,53;0,88;1,17;1,6;0,253
"1146";"HAMBORNER REIT (XET)";NA;"Diversified REITs";2006;NA;0,0075;3e-04;0,0072;0,2802;9,95;0,6121;0,0798;0,0144;0,1762;0,9;3,87;0,68;1,5;0,1916
"1147";"HAMBORNER REIT (XET)";NA;"Diversified REITs";2007;NA;0,2915;0,1658;0,1257;0,1153;10,06;0,697;0,0424;0,0097;0;0,27;3,38;-0,06;2,3;0,2236
"1148";"HAMBORNER REIT (XET)";NA;"Diversified REITs";2008;NA;0,326;0,3126;0,0134;0,7971;10,65;0,7999;0,0813;0,0198;0,0668;0,24;0,82;-0,65;2,6;-0,4072
"1149";"HAMBORNER REIT (XET)";NA;"Diversified REITs";2009;NA;0,357;0,3415;0,0155;-0,3953;10,15;0,8688;0,0384;1e-04;0,0696;0,22;-5,57;1,99;0,3;0,1979
"1150";"HAMBORNER REIT (XET)";NA;"Diversified REITs";2010;NA;0,3818;0,344;0,0379;0,1103;10,25;0,7919;0,0365;1e-04;0,1871;0,1;3,95;1,93;1,1;0,1606
"1151";"HAMBORNER REIT (XET)";NA;"Diversified REITs";2011;"SDAX";0,4675;0,4531;0,0144;0,2765;10,49;0,9413;0,0379;1e-04;0,0737;0,22;3,72;1,22;2,1;-0,1511
"1152";"HAMBORNER REIT (XET)";NA;"Diversified REITs";2012;"SDAX";0,4261;0,4118;0,0142;0,1374;10,62;0,9438;0,0346;1e-04;0,0013;0,35;0,69;0,93;2;0,2566
"1153";"HAMBORNER REIT (XET)";NA;"Diversified REITs";2013;"SDAX";0,5248;0,513;0,0118;0,2314;10,83;0,9428;0,0329;0,0259;0;0,22;0,59;1,35;1,5;0,2331
"1154";"HAMBORNER REIT (XET)";NA;"Diversified REITs";2014;"SDAX";0,5186;0,5013;0,0173;0,248;11,05;0,977;0,0493;1e-04;NA;0,23;1,6;0,95;0,9;0,0516
"1155";"HAMBORNER REIT (XET)";NA;"Diversified REITs";2015;"SDAX";0,4377;0,4172;0,0205;-0,0247;11,03;0,9547;0,0344;1e-04;NA;0,43;1,48;0,52;0,3;0,0986
"1156";"HAMBURGER HAFEN UND(XET) LOGISTIK";"DE000A0S8488";"Transport Services";2005;NA;0,3528;0,3528;0;0,164;13,63;0,6926;0,1242;0,0816;0,2801;NA;0,88;1,17;1,6;0,253
"1157";"HAMBURGER HAFEN UND(XET) LOGISTIK";NA;"Transport Services";2006;NA;0,3276;0,2674;0,0602;0,2214;13,83;0,6002;0,1787;0,0672;0,3439;NA;3,87;0,68;1,5;0,1916
"1158";"HAMBURGER HAFEN UND(XET) LOGISTIK";NA;"Transport Services";2007;NA;0,2302;0,1922;0,038;0,1597;13,98;0,5194;0,1879;0,0539;0,384;NA;3,38;-0,06;2,3;0,2236
"1159";"HAMBURGER HAFEN UND(XET) LOGISTIK";NA;"Transport Services";2008;"MDAX";0,2253;0,1804;0,0448;0,1245;14,1;0,5484;0,2134;0,055;0,314;0,95;0,82;-0,65;2,6;-0,4072
"1160";"HAMBURGER HAFEN UND(XET) LOGISTIK";NA;"Transport Services";2009;"MDAX";0,2367;0,2017;0,035;-0,2533;13,81;0,5874;0,0896;0,061;0,2638;1,32;-5,57;1,99;0,3;0,1979
"1161";"HAMBURGER HAFEN UND(XET) LOGISTIK";NA;"Transport Services";2010;"MDAX";0,3541;0,2688;0,0853;0,0831;13,89;0,5817;0,1047;0,0575;0,2532;1,14;3,95;1,93;1,1;0,1606
"1162";"HAMBURGER HAFEN UND(XET) LOGISTIK";NA;"Transport Services";2011;"MDAX";0,3538;0,2771;0,0767;0,1343;14,01;0,5507;0,1094;0,062;0,2863;0,77;3,72;1,22;2,1;-0,1511
"1163";"HAMBURGER HAFEN UND(XET) LOGISTIK";NA;"Transport Services";2012;"MDAX";0,3566;0,2475;0,1091;-0,0729;13,94;0,5808;0,1011;0,0653;0,2383;0,72;0,69;0,93;2;0,2566
"1164";"HAMBURGER HAFEN UND(XET) LOGISTIK";NA;"Transport Services";2013;"SDAX";0,3272;0,2345;0,0927;0,0237;13,96;0,5757;0,0868;0,0673;0,2505;0,47;0,59;1,35;1,5;0,2331
"1165";"HAMBURGER HAFEN UND(XET) LOGISTIK";NA;"Transport Services";2014;"SDAX";0,3263;0,2258;0,1005;0,0384;14;0,5439;0,0889;0,0672;0,258;0,7;1,6;0,95;0,9;0,0516
"1166";"HAMBURGER HAFEN UND(XET) LOGISTIK";NA;"Transport Services";2015;"SDAX";0,3285;0,2828;0,0456;-0,0482;13,95;0,5607;0,0876;0,0667;0,2163;0,5;1,48;0,52;0,3;0,0986
"1167";"HEIDELBERGER (XET) DRUCKMASCHINEN";"DE0007314007";"Industrial Machinery";2005;"MDAX";0,1755;0,1077;0,0678;-0,0821;15,03;0,1538;0,0389;0,0326;0,3405;1,3;0,88;1,17;1,6;0,253
"1168";"HEIDELBERGER (XET) DRUCKMASCHINEN";NA;"Industrial Machinery";2006;"MDAX";0,18;0,1357;0,0442;0,067;15,09;0,1651;0,0831;0,039;0,3583;0,85;3,87;0,68;1,5;0,1916
"1169";"HEIDELBERGER (XET) DRUCKMASCHINEN";NA;"Industrial Machinery";2007;"MDAX";0,1632;0,1266;0,0366;0,0606;15,15;0,1586;0,1038;0,0366;0,1062;0,99;3,38;-0,06;2,3;0,2236
"1170";"HEIDELBERGER (XET) DRUCKMASCHINEN";NA;"Industrial Machinery";2008;"MDAX";0,1563;0,1418;0,0145;-0,0348;15,12;0,1667;0,0718;0,0351;0,2297;0,94;0,82;-0,65;2,6;-0,4072
"1171";"HEIDELBERGER (XET) DRUCKMASCHINEN";NA;"Industrial Machinery";2009;"MDAX";0,2355;0,0394;0,1961;-0,1828;14,91;0,2001;-0,079;0,0301;0,3842;2,05;-5,57;1,99;0,3;0,1979
"1172";"HEIDELBERGER (XET) DRUCKMASCHINEN";NA;"Industrial Machinery";2010;"MDAX";0,299;0,1703;0,1287;-0,2311;14,65;0,2182;-0,0711;0,038;0,2969;1,51;3,95;1,93;1,1;0,1606
"1173";"HEIDELBERGER (XET) DRUCKMASCHINEN";NA;"Industrial Machinery";2011;"MDAX";0,1547;0,0413;0,1134;0,1398;14,78;0,2234;-0,0042;0,0375;0;0,95;3,72;1,22;2,1;-0,1511
"1174";"HEIDELBERGER (XET) DRUCKMASCHINEN";NA;"Industrial Machinery";2012;"SDAX";0,1765;0,1368;0,0398;-0,0126;14,77;0,2209;-0,0634;0,0338;0;0,91;0,69;0,93;2;0,2566
"1175";"HEIDELBERGER (XET) DRUCKMASCHINEN";NA;"Industrial Machinery";2013;"SDAX";0,182;0,1439;0,0381;0,0535;14,82;0,2305;-0,0279;0,036;0,1341;0,84;0,59;1,35;1,5;0,2331
"1176";"HEIDELBERGER (XET) DRUCKMASCHINEN";NA;"Industrial Machinery";2014;"SDAX";0,2195;0,1972;0,0223;-0,1098;14,71;0,2312;0,0257;0,0323;0;1,09;1,6;0,95;0,9;0,0516
"1177";"HEIDELBERGER (XET) DRUCKMASCHINEN";NA;"Industrial Machinery";2015;"SDAX";0,243;0,2211;0,0219;-0,0413;14,66;0,2184;0,0029;0,0316;0;0,73;1,48;0,52;0,3;0,0986
"1178";"HORNBACH HOLDING (XET)";"DE0006083405";"Broadline Retailers";2005;"SDAX";0,4848;0,4239;0,061;0,0793;14,61;0,5871;0,0584;0,04;0,2452;-0,12;0,88;1,17;1,6;0,253
"1179";"HORNBACH HOLDING (XET)";NA;"Broadline Retailers";2006;"SDAX";0,4684;0,3622;0,1062;0,0662;14,68;0,5271;0,0551;0,0414;0,21;0,13;3,87;0,68;1,5;0,1916
"1180";"HORNBACH HOLDING (XET)";NA;"Broadline Retailers";2007;"SDAX";0,4324;0,3631;0,0694;0,0748;14,75;0,4962;0,0714;0,0416;0,0561;0,22;3,38;-0,06;2,3;0,2236
"1181";"HORNBACH HOLDING (XET)";NA;"Broadline Retailers";2008;"SDAX";0,4147;0,3452;0,0695;0,0287;14,78;0,5025;0,0592;0,0382;0,084;0,28;0,82;-0,65;2,6;-0,4072
"1182";"HORNBACH HOLDING (XET)";NA;"Broadline Retailers";2009;"SDAX";0,3922;0,3146;0,0776;0,0515;14,83;0,474;0,0966;0,035;0,1648;0,44;-5,57;1,99;0,3;0,1979
"1183";"HORNBACH HOLDING (XET)";NA;"Broadline Retailers";2010;"SDAX";0,3724;0,3347;0,0378;0,0368;14,86;0,4979;0,0764;0,0345;0,2181;0,48;3,95;1,93;1,1;0,1606
"1184";"HORNBACH HOLDING (XET)";NA;"Broadline Retailers";2011;"SDAX";0,3589;0,2717;0,0872;0,0574;14,92;0,4766;0,0734;0,0308;0,1705;0,57;3,72;1,22;2,1;-0,1511
"1185";"HORNBACH HOLDING (XET)";NA;"Broadline Retailers";2012;"SDAX";0,3418;0,2647;0,0771;0,0621;14,98;0,5054;0,0749;0,0324;0,221;0,1;0,69;0,93;2;0,2566
"1186";"HORNBACH HOLDING (XET)";NA;"Broadline Retailers";2013;"SDAX";0,3175;0,2747;0,0427;0,0077;14,99;0,5388;0,0659;0,0334;0,2034;0,08;0,59;1,35;1,5;0,2331
"1187";"HORNBACH HOLDING (XET)";NA;"Broadline Retailers";2014;"SDAX";0,2981;0,2581;0,04;0,0434;15,03;0,5249;0,0667;0,032;0,2653;0,4;1,6;0,95;0,9;0,0516
"1188";"HORNBACH HOLDING (XET)";NA;"Broadline Retailers";2015;"SDAX";0,2655;0,2399;0,0256;0,0601;15,09;0,5278;0,0692;0,0322;0,1965;0,4;1,48;0,52;0,3;0,0986
"1189";"INDUS HOLDING (XET)";"DE0006200108";"Divers. Industrials";2005;"SDAX";0,563;0,3973;0,1657;0,0374;13,51;0,2366;0,0932;0,0438;0,2809;0,4;0,88;1,17;1,6;0,253
"1190";"INDUS HOLDING (XET)";NA;"Divers. Industrials";2006;"SDAX";0,579;0,468;0,111;0,155;13,65;0,2527;0,1012;0,0462;0,3289;0,64;3,87;0,68;1,5;0,1916
"1191";"INDUS HOLDING (XET)";NA;"Divers. Industrials";2007;"SDAX";0,5587;0,4169;0,1417;0,0948;13,74;0,2582;0,1162;0,0435;0,2468;0,51;3,38;-0,06;2,3;0,2236
"1192";"INDUS HOLDING (XET)";NA;"Divers. Industrials";2008;"SDAX";0,5559;0,3997;0,1562;-0,0014;13,74;0,2648;0,0924;0,0425;0,2998;0,73;0,82;-0,65;2,6;-0,4072
"1193";"INDUS HOLDING (XET)";NA;"Divers. Industrials";2009;"SDAX";0,5506;0,3988;0,1518;-0,1712;13,55;0,2621;0,0611;0,0442;0,2186;0,99;-5,57;1,99;0,3;0,1979
